Date,edinetCode,code,Close,Volume,MarketCap,EV,PER,PBR,EPS_calc,BPS,NetAssets,NetIncome,OperatingIncome
2024-02-09,E02362,6861,64606.93359375,653300,,,369.5414608119316,,174.83,,441398000000.0,30004000000,39151000000.0
2024-02-13,E02362,6861,65806.09375,653400,,,376.4004675970943,,174.83,,441398000000.0,30004000000,39151000000.0
2024-02-14,E02362,6861,65530.875,636400,,,374.82625979522965,,174.83,,441398000000.0,30004000000,39151000000.0
2024-02-15,E02362,6861,66022.3359375,577000,,,377.6373387719499,,174.83,,441398000000.0,30004000000,39151000000.0
2024-02-16,E02362,6861,67624.4765625,784800,,,386.80133022078587,,174.83,,441398000000.0,30004000000,39151000000.0
2024-02-19,E02362,6861,67604.828125,454500,,,386.6889442601384,,174.83,,441398000000.0,30004000000,39151000000.0
2024-02-20,E02362,6861,67860.3828125,429100,,,388.15067672882225,,174.83,,441398000000.0,30004000000,39151000000.0
2024-02-21,E02362,6861,67683.4609375,478000,,,387.13871153406166,,174.83,,441398000000.0,30004000000,39151000000.0
2024-02-22,E02362,6861,68361.671875,671200,,,391.01797102899957,,174.83,,441398000000.0,30004000000,39151000000.0
2024-02-26,E02362,6861,69688.6015625,618800,,,398.6077993622376,,174.83,,441398000000.0,30004000000,39151000000.0
2024-02-27,E02362,6861,70307.8359375,500900,,,402.14972223016645,,174.83,,441398000000.0,30004000000,39151000000.0
2024-02-28,E02362,6861,69148.0078125,557600,,,395.5156884544986,,174.83,,441398000000.0,30004000000,39151000000.0
2024-02-29,E02362,6861,68843.2890625,713500,,,393.77274530972943,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-01,E02362,6861,69718.078125,419400,,,398.77640064634215,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-04,E02362,6861,71654.4296875,778300,,,409.85202589658525,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-05,E02362,6861,73600.5859375,741300,,,420.9837324114854,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-06,E02362,6861,72833.921875,631100,,,416.5985350054338,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-07,E02362,6861,71123.65625,635400,,,406.8160856260367,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-08,E02362,6861,71556.1484375,741500,,,409.2898726620145,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-11,E02362,6861,69570.65625,620700,,,397.93317079448605,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-12,E02362,6861,68705.6875,559300,,,392.9856860950637,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-13,E02362,6861,68774.4921875,524500,,,393.3792380455299,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-14,E02362,6861,67614.65625,659800,,,386.74515958359547,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-15,E02362,6861,67545.84375,563600,,,386.35156294686266,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-18,E02362,6861,69496.2734375,447900,,,397.5077128496253,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-19,E02362,6861,70225.21875,393100,,,401.67716496024707,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-21,E02362,6861,71190.5859375,567600,,,407.1989128725047,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-22,E02362,6861,70757.1640625,512900,,,404.71980817079447,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-25,E02362,6861,69318.9609375,439200,,,396.49351334153175,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-26,E02362,6861,70235.0703125,592500,,,401.7335143425041,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-27,E02362,6861,69447.015625,646500,,,397.2259659383401,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-28,E02362,6861,69043.1484375,497000,,,394.915909383401,,174.83,,441398000000.0,30004000000,39151000000.0
2024-03-29,E02362,6861,68629.421875,243600,,,392.5494587599382,,174.83,,441398000000.0,30004000000,39151000000.0
2024-04-01,E02362,6861,68905.2421875,410200,,,353.8865091032818,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-02,E02362,6861,69190.90625,437800,,,355.3536348929177,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-03,E02362,6861,67604.953125,629500,,,347.20842856042316,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-04,E02362,6861,67279.875,693500,,,345.53887833187815,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-05,E02362,6861,63979.921875,1093000,,,328.59083701402085,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-08,E02362,6861,64452.75,829300,,,331.0192080530019,,194.71,,236698000000.0,34621000000,20284000000.0
2024-04-09,E02362,6861,63901.1171875,649300,,,328.186108507524,,194.71,,236698000000.0,34621000000,20284000000.0
